name,year,selling_price_inr,km_driven,fuel,seller_type,transmission,owner,seats,engine_cc,max_power_bhp,brand
Hyundai Creta 1.6 VTVT E Plus,2017.0,899000.0,71000.0,Petrol,Dealer,Manual,First Owner,5,1591.0,121.3,Hyundai
Mercedes-Benz GLS 2016-2020 350d Grand Edition,2017.0,7000000.0,37000.0,Diesel,Dealer,Automatic,First Owner,7,2987.0,258.0,Mercedes-Benz
Maruti Ertiga ZXI Plus Petrol,2019.0,920000.0,15000.0,Petrol,Individual,Manual,First Owner,7,1462.0,103.0,Maruti
Maruti Ritz VDi ABS,2010.0,220000.00000000003,40000.0,Diesel,Individual,Manual,First Owner,5,1248.0,73.9,Maruti
Tata Nexon 1.2 Revotron XZA Plus,2019.0,850000.0,15000.0,Petrol,Individual,Automatic,First Owner,5,1198.0,108.5,Tata
Mahindra XUV500 W4,2015.0,950000.0,15000.0,Diesel,Individual,Manual,First Owner,7,2179.0,140.0,Mahindra
Maruti Eeco CNG 5 Seater AC BSIV,2019.0,450000.0,10000.0,CNG,Individual,Manual,First Owner,5,1196.0,61.7,Maruti
Maruti Ciaz VXi Plus,2015.0,490000.00000000006,57000.0,Petrol,Dealer,Manual,First Owner,5,1373.0,91.1,Maruti
Maruti Ciaz Zeta Diesel,2017.0,725000.0,480000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,88.5,Maruti
Maruti Swift Dzire VXI 1.2 BS IV,2018.0,650000.0,15000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.8,Maruti
Hyundai EON 1.0 Era Plus,2016.0,325000.0,50000.0,Petrol,Individual,Manual,First Owner,5,998.0,68.05,Hyundai
Maruti Alto K10 2010-2014 VXI,2013.0,210000.0,50000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.1,Maruti
Honda City i-VTEC V,2018.0,1090000.0,14000.0,Petrol,Dealer,Manual,First Owner,5,1497.0,117.6,Honda
Hyundai i10 Magna 1.2,2013.0,325000.0,32545.0,Petrol,Dealer,Manual,First Owner,5,1197.0,78.9,Hyundai
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2017.0,565000.0,56000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,81.86,Hyundai
Tata Tiago 1.2 Revotron XM,2018.0,400000.0,30000.0,Petrol,Individual,Manual,First Owner,5,1199.0,84.0,Tata
BMW 5 Series 520d Luxury Line,2017.0,3975000.0,30000.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,187.74,BMW
Chevrolet Aveo U-VA 1.2 LS,2007.0,102000.0,50000.0,Petrol,Individual,Manual,Second Owner,5,1150.0,74.9,Chevrolet
Maruti Wagon R VXI,2013.0,300000.0,25840.0,Petrol,Dealer,Manual,First Owner,5,998.0,67.04,Maruti
Honda City 1.5 S MT,2009.0,300000.0,100000.0,Petrol,Individual,Manual,First Owner,5,1497.0,118.0,Honda
Toyota Fortuner 2016-2021 2.8 2WD AT BSIV,2018.0,3200000.0,28000.0,Diesel,Dealer,Automatic,First Owner,7,2755.0,174.5,Toyota
Mahindra TUV 300 T10,2018.0,750000.0,10000.0,Diesel,Individual,Manual,First Owner,7,1493.0,100.0,Mahindra
Audi A6 35 TDI Technology,2015.0,2650000.0,67000.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,174.33,Audi
Honda Amaze VX Petrol,2016.0,349000.0,41200.0,Petrol,Dealer,Manual,First Owner,5,1199.0,88.76,Honda
Honda Civic 1.8 S MT,2006.0,121000.0,70000.0,Petrol,Individual,Manual,Second Owner,5,1799.0,130.0,Honda
Chevrolet Beat Diesel LT,2012.0,200000.0,61000.0,Diesel,Dealer,Manual,First Owner,5,936.0,57.6,Chevrolet
Fiat Palio Stile 1.1 SLX,2008.0,125000.0,71000.0,Petrol,Dealer,Manual,First Owner,5,1108.0,57.0,Fiat
Honda CR-V 2.0 AT,2018.0,3200000.0,13868.0,Petrol,Dealer,Automatic,First Owner,5,1997.0,141.1,Honda
Renault KWID RXL,2019.0,375000.0,5000.0,Petrol,Individual,Manual,First Owner,5,799.0,53.3,Renault
Maruti Wagon R VXI BSIII,2011.0,290000.0,69001.0,Petrol,Dealer,Manual,First Owner,5,1061.0,64.0,Maruti
Hyundai Grand i10 1.2 CRDi Sportz,2016.0,500000.0,70000.0,Diesel,Dealer,Manual,First Owner,5,1186.0,73.97,Hyundai
Maruti Alto LXi,2010.0,135000.0,70000.0,Petrol,Individual,Manual,First Owner,5,796.0,46.3,Maruti
Honda City 1.5 S MT,2008.0,275000.0,50000.0,Petrol,Dealer,Manual,First Owner,5,1497.0,118.0,Honda
Honda Amaze S i-Dtech,2015.0,365000.0,120000.0,Diesel,Individual,Manual,First Owner,5,1498.0,98.6,Honda
Honda CR-V AT With Sun Roof,2008.0,375000.0,82001.0,Petrol,Dealer,Automatic,First Owner,5,1457.8590146750523,104.50511029411855,Honda
Renault Lodgy 85PS RxE 7 Seater,2019.0,950000.0,70000.0,Diesel,Individual,Manual,First Owner,7,1461.0,83.8,Renault
Maruti Alto LXi,2006.0,94500.0,44000.0,Petrol,Individual,Manual,First Owner,5,796.0,46.3,Maruti
Maruti Alto K10 VXI,2016.0,260000.0,120000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.05,Maruti
BMW X3 xDrive 20d Expedition,2020.0,3500000.0,34000.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,190.0,BMW
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017.0,2625000.0,9000.0,Diesel,Dealer,Automatic,First Owner,5,1999.0,177.0,Jaguar
Maruti Baleno Zeta 1.3,2015.0,600000.0,70000.0,Diesel,Individual,Manual,Second Owner,5,1248.0,74.0,Maruti
Hyundai Verna 1.6 SX,2013.0,500000.0,87000.0,Diesel,Individual,Manual,Second Owner,5,1582.0,126.32,Hyundai
Hyundai Creta 1.6 CRDi SX,2016.0,1000000.0,50000.0,Diesel,Individual,Manual,First Owner,5,1582.0,126.2,Hyundai
Maruti Swift VXI,2013.0,390000.0,30000.0,Petrol,Individual,Manual,First Owner,5,1197.0,85.8,Maruti
Volkswagen Polo 1.5 TDI Highline,2015.0,450000.0,40000.0,Diesel,Individual,Manual,First Owner,5,1498.0,88.8,Volkswagen
Maruti Swift ZDi,2012.0,500000.0,120000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0,Maruti
Mahindra Xylo D2,2009.0,121000.0,100000.0,Diesel,Individual,Manual,Second Owner,8,2489.0,95.0,Mahindra
Chevrolet Beat LT,2011.0,285000.0,12000.0,Petrol,Individual,Manual,First Owner,5,1199.0,79.4,Chevrolet
Maruti Swift Dzire VDI,2014.0,385000.0,71000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0,Maruti
Maruti SX4 ZXI MT BSIV Leather,2011.0,277000.0,15000.0,Petrol,Individual,Manual,First Owner,5,1586.0,103.3,Maruti
Honda City 2017-2020 EXi,2007.0,138000.0,120000.0,Petrol,Individual,Manual,Second Owner,5,1497.0,78.0,Honda
Maruti Wagon R LXI CNG,2015.0,375000.0,42100.0,CNG,Dealer,Manual,First Owner,5,998.0,58.16,Maruti
Jaguar XJ 3.0L Portfolio,2015.0,4325000.0,25000.0,Diesel,Dealer,Automatic,First Owner,4,2993.0,271.23,Jaguar
Chevrolet Spark 1.0 LT,2016.0,160000.0,50000.0,Petrol,Individual,Manual,Second Owner,5,995.0,62.1,Chevrolet
Mercedes-Benz M-Class ML 250 CDI,2015.0,2590000.0,79000.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,203.2,Mercedes-Benz
Volkswagen Vento 1.5 TDI Highline,2015.0,690000.0,63096.0,Diesel,Dealer,Manual,First Owner,5,1498.0,103.2,Volkswagen
Tata Harrier XZ BSIV,2019.0,1700000.0,20000.0,Diesel,Individual,Manual,First Owner,5,1956.0,138.1,Tata
Ford Figo 1.5D Ambiente ABS MT,2016.0,475000.0,97000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,99.0,Ford
Volkswagen Polo 2015-2019 GT TSI,2015.0,695000.0,47700.0,Petrol,Dealer,Automatic,First Owner,5,1197.0,103.5,Volkswagen
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2017.0,425000.0,50000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,81.86,Hyundai
Maruti Swift Dzire Vdi BSIV,2012.0,450000.0,120000.0,Diesel,Individual,Manual,First Owner,5,1248.0,73.9,Maruti
Maruti Ertiga VDI,2013.0,585000.0,94000.0,Diesel,Dealer,Manual,First Owner,7,1248.0,88.76,Maruti
Audi Q3 2.0 TDI Quattro Premium Plus,2013.0,1275000.0,147000.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,174.33,Audi
Chevrolet Enjoy TCDi LTZ 7 Seater,2013.0,450000.0,60000.0,Diesel,Individual,Manual,First Owner,7,1248.0,73.8,Chevrolet
Tata Indigo CS LS (TDI) BS III,2013.0,175000.0,120000.0,Diesel,Individual,Manual,First Owner,5,1396.0,69.0,Tata
Toyota Etios Liva 1.2 V Dual Tone,2017.0,549000.0,35000.0,Petrol,Individual,Manual,First Owner,5,1197.0,78.9,Toyota
Skoda Rapid 1.6 TDI Ambition,2012.0,350000.0,85000.0,Diesel,Dealer,Manual,First Owner,5,1598.0,103.5,Skoda
Renault KWID AMT RXL,2017.0,350000.0,40000.0,Petrol,Individual,Automatic,First Owner,5,999.0,67.0,Renault
BMW 3 Series 320d,2011.0,1025000.0,75100.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,170.0,BMW
Maruti Swift Dzire Tour LXI,2014.0,310000.0,80000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,85.8,Maruti
Maruti Baleno Alpha Automatic,2018.0,834000.0,20000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,83.1,Maruti
Toyota Etios Liva G,2012.0,310000.0,51000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,78.9,Toyota
Hyundai i20 Sportz 1.2,2016.0,550000.0,46000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.83,Hyundai
Hyundai i20 Asta 1.4 CRDi,2012.0,375000.0,98000.0,Diesel,Dealer,Manual,First Owner,5,1396.0,88.76,Hyundai
Maruti Alto LXi,2012.0,185000.0,60000.0,Petrol,Individual,Manual,Second Owner,5,796.0,46.3,Maruti
Tata Tiago 1.2 Revotron XE,2019.0,346000.0,16000.0,Petrol,Individual,Manual,First Owner,5,1199.0,84.0,Tata
Mahindra Thar 4X4,2015.0,750000.0,64000.0,Diesel,Dealer,Manual,First Owner,7,2498.0,105.0,Mahindra
Renault Koleos 2.0 Diesel,2012.0,560000.0,79391.0,Diesel,Dealer,Automatic,First Owner,5,1995.0,148.0,Renault
Maruti Wagon R LXI CNG,2015.0,325000.0,48000.0,CNG,Dealer,Manual,First Owner,5,998.0,58.16,Maruti
Maruti Swift VDI BSIV W ABS,2010.0,300000.0,70000.0,Diesel,Individual,Manual,Third Owner,5,1248.0,72.96410345829393,Maruti
Toyota Etios Liva VX,2015.0,445000.0,33000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,78.9,Toyota
Maruti Vitara Brezza ZDi Plus Dual Tone,2017.0,885000.0,53100.0,Diesel,Dealer,Manual,First Owner,5,1248.0,88.5,Maruti
Honda City i DTEC VX,2014.0,649000.0,99000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.6,Honda
Tata Bolt Revotron XM,2015.0,350000.0,50000.0,Petrol,Individual,Manual,First Owner,5,1193.0,88.7,Tata
Mahindra Bolero 2011-2019 SLX,2017.0,690000.0,60000.0,Diesel,Individual,Manual,First Owner,7,2523.0,62.1,Mahindra
Maruti Swift Dzire VXI 1.2,2017.0,550000.0,20000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.8,Maruti
Mahindra XUV500 W8 2WD,2015.0,880000.0000000001,72000.0,Diesel,Dealer,Manual,First Owner,7,2179.0,140.0,Mahindra
Maruti Celerio ZXI,2017.0,345000.0,25000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.04,Maruti
Maruti Swift VXI,2012.0,320000.0,38000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,85.8,Maruti
Maruti Swift VXI,2019.0,550000.0,5000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.8,Maruti
Volkswagen Vento 1.6 Highline,2019.0,875000.0,4200.0,Petrol,Dealer,Manual,First Owner,5,1598.0,103.2,Volkswagen
Maruti Swift VXI 2018,2018.0,565000.0,36000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,81.8,Maruti
Maruti Celerio VXI,2016.0,375000.0,36000.0,Petrol,Dealer,Manual,First Owner,5,998.0,67.04,Maruti
Hyundai EON Magna Plus,2012.0,185000.0,38000.0,Petrol,Dealer,Manual,First Owner,5,814.0,55.2,Hyundai
Jaguar XF 3.0 Litre S Premium Luxury,2013.0,2500000.0,79000.0,Diesel,Dealer,Automatic,First Owner,5,2993.0,270.9,Jaguar
Maruti Wagon R VXI,2011.0,260000.0,78562.0,Petrol,Dealer,Manual,First Owner,5,998.0,67.1,Maruti
Hyundai Creta 1.4 CRDi S,2016.0,935000.0,52000.0,Diesel,Dealer,Manual,First Owner,5,1396.0,88.7,Hyundai
Toyota Innova Crysta 2.4 GX MT BSIV,2016.0,1385000.0,60000.0,Diesel,Dealer,Manual,Second Owner,7,2393.0,147.8,Toyota
Tata Manza Club Class Quadrajet90 VX,2013.0,260000.0,189000.0,Diesel,Individual,Manual,First Owner,5,1248.0,88.76,Tata
Honda CR-V 2.0 2WD,2008.0,339000.0,120000.0,Petrol,Individual,Manual,First Owner,5,1997.0,104.50511029411855,Honda
Hyundai i20 Active 1.4,2015.0,430000.0,80000.0,Diesel,Individual,Manual,First Owner,5,1396.0,88.73,Hyundai
Hyundai Getz GLS,2005.0,65000.0,86000.0,Petrol,Individual,Manual,First Owner,5,1341.0,83.0,Hyundai
Mercedes-Benz E-Class E250 CDI Avantgarde,2015.0,2100000.0,61498.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,204.0,Mercedes-Benz
Hyundai EON Era Plus,2012.0,295000.0,295000.0,Petrol,Dealer,Manual,First Owner,5,814.0,55.2,Hyundai
Maruti Swift VDI BSIV,2015.0,500000.0,90000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0,Maruti
Honda City i VTEC SV,2015.0,575000.0,9599.0,Petrol,Dealer,Manual,First Owner,5,1497.0,117.3,Honda
Maruti Swift Vdi BSIII,2010.0,260000.0,120000.0,Diesel,Individual,Manual,Second Owner,5,1248.0,75.0,Maruti
Honda WR-V i-DTEC VX,2018.0,950000.0,58000.0,Diesel,Individual,Manual,First Owner,5,1498.0,98.6,Honda
Maruti Zen LXI,2003.0,95000.0,46333.0,Petrol,Dealer,Manual,First Owner,5,993.0,60.0,Maruti
Maruti Alto 800 VXI Airbag,2015.0,320000.0,52000.0,Petrol,Dealer,Manual,First Owner,5,796.0,47.3,Maruti
Mahindra Bolero B6,2020.0,650000.0,15000.0,Diesel,Individual,Manual,First Owner,7,1498.0,74.96,Mahindra
Nissan Micra Active XL Petrol,2017.0,420000.0,5000.0,Petrol,Individual,Manual,First Owner,5,1198.0,67.04,Nissan
Hyundai EON LPG Era Plus,2017.0,300000.0,80000.0,LPG,Individual,Manual,First Owner,5,814.0,55.2,Hyundai
Maruti Ritz VDi,2011.0,270000.0,89000.0,Diesel,Individual,Manual,Second Owner,5,1248.0,73.9,Maruti
Honda New Accord 2008-2011 2.4 MT,2008.0,475000.0,100000.0,Petrol,Dealer,Manual,First Owner,5,2354.0,177.6,Honda
Honda City i VTEC CVT VX,2016.0,844999.9999999999,47592.0,Petrol,Dealer,Automatic,First Owner,5,1497.0,117.3,Honda
Maruti Ciaz Zeta 1.5,2017.0,625000.0,21000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,93.87,Maruti
Hyundai Santro Sportz BSIV,2018.0,475000.0,7800.0,Petrol,Individual,Manual,First Owner,5,1086.0,68.0,Hyundai
Maruti Wagon R VXI 1.2 BSIV,2015.0,340000.0,70000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,81.8,Maruti
Tata Nexon 1.5 Revotorq XT,2017.0,825000.0,41000.0,Diesel,Dealer,Manual,First Owner,5,1497.0,108.5,Tata
Maruti Esteem Vxi - BSII,2006.0,45000.0,80000.0,Petrol,Individual,Manual,First Owner,5,1298.0,72.96410345829393,Maruti
BMW X5 3.0d,2008.0,1975000.0,61000.0,Diesel,Dealer,Automatic,First Owner,5,2993.0,235.0,BMW
Chevrolet Beat LS,2010.0,210000.0,79000.0,Petrol,Dealer,Manual,First Owner,5,1199.0,79.4,Chevrolet
Maruti Swift Dzire LDI,2017.0,547000.0,120000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.02,Maruti
Mercedes-Benz CLA 200 CDI Sport,2017.0,2550000.0,47000.0,Diesel,Individual,Automatic,First Owner,5,2143.0,136.0,Mercedes-Benz
Maruti Swift VXI Optional,2017.0,573000.0,30000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.8,Maruti
Maruti Alto 800 LXI,2018.0,275000.0,25000.0,Petrol,Individual,Manual,First Owner,5,796.0,47.3,Maruti
Ford Figo Petrol ZXI,2012.0,270000.0,48507.0,Petrol,Dealer,Manual,First Owner,5,1196.0,70.0,Ford
Tata Indica GLS BS IV,2007.0,75000.0,100000.0,Petrol,Individual,Manual,Second Owner,5,1193.0,65.3,Tata
Maruti 800 AC LPG,2008.0,149000.0,87540.0,LPG,Individual,Manual,Third Owner,5,796.0,35.5,Maruti
Ford Ecosport 2015-2021 1.5 Petrol Titanium AT,2016.0,670000.0,40003.0,Petrol,Dealer,Automatic,First Owner,5,1496.0,120.69,Ford
Hyundai i20 Magna Plus BSIV,2019.0,624000.0,5000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.86,Hyundai
Hyundai i20 1.4 CRDi Magna,2016.0,660000.0,88098.0,Diesel,Dealer,Manual,First Owner,5,1396.0,90.0,Hyundai
Maruti Ertiga VXI,2018.0,775000.0,47000.0,Petrol,Dealer,Manual,Second Owner,7,1373.0,93.7,Maruti
Maruti Swift Dzire VDI,2015.0,480000.0,80000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0,Maruti
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus,2018.0,950000.0,25358.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.96,Ford
Renault Koleos 4X4 AT,2014.0,1100000.0,50000.0,Diesel,Individual,Automatic,First Owner,5,1995.0,170.6,Renault
Datsun GO Plus A,2016.0,200000.0,120000.0,Petrol,Individual,Manual,First Owner,7,1198.0,67.0,Datsun
Toyota Etios Liva 1.4 GXD,2016.0,475000.0,74800.0,Diesel,Dealer,Manual,First Owner,5,1364.0,67.04,Toyota
Chevrolet Spark 1.0 LS,2011.0,150000.0,20000.0,Petrol,Individual,Manual,First Owner,5,995.0,62.0,Chevrolet
Honda BRV i-VTEC V MT,2018.0,1100000.0,100000.0,Petrol,Individual,Manual,First Owner,7,1497.0,117.3,Honda
Maruti Alto 800 LXI,2018.0,304000.0,22000.0,Petrol,Individual,Manual,First Owner,5,796.0,47.3,Maruti
Renault Duster 85PS Diesel RxL Plus,2013.0,380000.0,80000.0,Diesel,Individual,Manual,First Owner,5,1461.0,83.8,Renault
Hyundai i10 Magna,2011.0,265000.0,82110.0,Petrol,Dealer,Manual,First Owner,5,1197.0,78.9,Hyundai
Tata Indica Vista Aqua 1.3 Quadrajet,2010.0,100000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1248.0,75.0,Tata
Hyundai i10 Magna,2010.0,320000.0,67000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,78.9,Hyundai
Hyundai Xcent 1.1 CRDi Base,2016.0,400000.0,132000.0,Diesel,Individual,Manual,First Owner,5,1120.0,71.0,Hyundai
Mahindra XUV500 W10 2WD,2017.0,1125000.0,48900.0,Diesel,Dealer,Manual,First Owner,7,2179.0,140.0,Mahindra
Hyundai EON Magna Plus,2014.0,290000.0,50000.0,Petrol,Individual,Manual,First Owner,5,814.0,55.2,Hyundai
Toyota Corolla Altis 1.8 VL CVT,2016.0,1175000.0,37294.0,Petrol,Dealer,Automatic,First Owner,5,1798.0,138.03,Toyota
Nissan Sunny Diesel XL,2013.0,215000.0,79000.0,Diesel,Dealer,Manual,First Owner,5,1461.0,84.8,Nissan
Volkswagen Vento 1.5 TDI Highline,2014.0,510000.0,71000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,108.6,Volkswagen
Hyundai EON Era Plus,2015.0,370000.0,20000.0,Petrol,Dealer,Manual,First Owner,5,814.0,55.2,Hyundai
Mahindra Scorpio VLX 4WD BSIV,2013.0,530000.0,140000.0,Diesel,Individual,Manual,First Owner,8,2179.0,120.0,Mahindra
Tata Nexon 1.5 Revotorq XZ Plus,2018.0,850000.0,90000.0,Diesel,Individual,Manual,First Owner,5,1497.0,108.5,Tata
Datsun GO A Option Petrol,2017.0,255000.0,44000.0,Petrol,Dealer,Manual,First Owner,5,1198.0,67.05,Datsun
Hyundai Verna VTVT 1.6 SX,2018.0,850000.0,30000.0,Petrol,Individual,Manual,First Owner,5,1591.0,121.3,Hyundai
BMW 5 Series 523i,2010.0,1399000.0,21000.0,Petrol,Dealer,Automatic,First Owner,5,2497.0,150.0,BMW
Ford Ecosport 2015-2021 1.5 TDCi Trend BSIV,2015.0,525000.0,72000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.59,Ford
Maruti Ritz VDi,2013.0,258000.0,81566.0,Diesel,Individual,Manual,First Owner,5,1248.0,73.94,Maruti
Honda Civic 1.8 S MT,2010.0,375000.0,36000.0,Petrol,Dealer,Manual,First Owner,5,1799.0,130.2,Honda
Toyota Fortuner 2016-2021 2.8 2WD AT BSIV,2018.0,3050000.0,39000.0,Diesel,Dealer,Automatic,First Owner,7,2755.0,174.5,Toyota
Mercedes-Benz M-Class ML 350 4Matic,2014.0,2990000.0,41000.0,Diesel,Dealer,Automatic,First Owner,5,2987.0,165.0,Mercedes-Benz
Maruti Swift VDI,2012.0,390000.0,68000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0,Maruti
Maruti Baleno Delta 1.2,2018.0,515000.00000000006,33100.0,Petrol,Individual,Manual,First Owner,5,1197.0,83.1,Maruti
Audi Q3 35 TDI Quattro Premium,2016.0,2700000.0,28237.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,174.33,Audi
Honda City 1.5 V MT,2010.0,380000.0,85000.0,Petrol,Individual,Manual,Second Owner,5,1497.0,118.0,Honda
Toyota Camry Hybrid,2015.0,2000000.0,60000.0,Petrol,Individual,Automatic,First Owner,5,2494.0,157.7,Toyota
Hyundai i10 Magna,2011.0,190000.0,58000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,78.9,Hyundai
Chevrolet Sail Hatchback 1.3 TCDi LS ABS,2014.0,325000.0,100000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0,Chevrolet
Hyundai Santro Xing GLS,2014.0,220000.0,40000.0,Petrol,Individual,Manual,First Owner,5,1086.0,62.1,Hyundai
Hyundai i20 1.2 Asta Option,2017.0,630000.0,25000.0,Petrol,Individual,Manual,Second Owner,5,1197.0,81.83,Hyundai
Maruti Baleno Alpha,2018.0,635000.0,31400.0,Petrol,Dealer,Manual,First Owner,5,1197.0,81.8,Maruti
Toyota Innova 2.5 V Diesel 7-seater,2007.0,395000.0,110000.0,Diesel,Dealer,Manual,First Owner,7,2494.0,102.0,Toyota
Hyundai i10 Era,2009.0,191000.0,50000.0,Petrol,Dealer,Manual,First Owner,5,1086.0,68.05,Hyundai
Hyundai i10 Magna,2013.0,229999.0,39000.0,Petrol,Dealer,Manual,First Owner,5,1197.0,78.9,Hyundai
Ford Freestyle Titanium Plus Petrol BSIV,2019.0,740000.0,5600.0,Petrol,Dealer,Manual,First Owner,5,1194.0,94.68,Ford
Tata Safari DICOR 2.2 EX 4x2,2015.0,600000.0,60000.0,Diesel,Individual,Manual,First Owner,7,2179.0,138.03,Tata
Honda Amaze VX i-DTEC,2015.0,515000.00000000006,43251.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.6,Honda
Toyota Innova Crysta 2016-2020 2.4 GX MT,2017.0,1450000.0,52000.0,Diesel,Dealer,Manual,First Owner,7,2393.0,147.51,Toyota
Mahindra Marazzo M8,2018.0,1055000.0,40000.0,Diesel,Dealer,Manual,First Owner,7,1497.0,121.0,Mahindra
Hyundai EON Era Plus,2012.0,235000.0,57000.0,Petrol,Dealer,Manual,First Owner,5,814.0,55.2,Hyundai
Maruti Wagon R LXI CNG,2016.0,395000.0,41224.0,CNG,Dealer,Manual,First Owner,5,998.0,58.16,Maruti
Honda Amaze VX i-DTEC,2013.0,350000.0,80000.0,Diesel,Individual,Manual,First Owner,5,1498.0,98.6,Honda
Hyundai i20 Asta Option 1.2,2016.0,540000.0,38000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.83,Hyundai
Renault Scala Diesel RxE,2015.0,530000.0,110000.0,Diesel,Individual,Manual,First Owner,5,1461.0,84.8,Renault
Nissan Micra Diesel XV Premium,2012.0,225000.0,50000.0,Diesel,Individual,Manual,First Owner,5,1461.0,63.1,Nissan
Tata Indica V2 Turbomax DLS BS IV,2012.0,275000.0,90000.0,Diesel,Individual,Manual,Second Owner,5,1405.0,71.0,Tata
Maruti SX4 S Cross DDiS 200 Delta,2016.0,815000.0,30000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,88.5,Maruti
Tata Safari Storme EX,2014.0,500000.0,291977.0,Diesel,Individual,Manual,First Owner,7,2179.0,138.1,Tata
Maruti Omni E MPI STD BS IV,2017.0,220000.00000000003,50000.0,Petrol,Individual,Manual,First Owner,8,796.0,34.2,Maruti
Toyota Etios Liva GD SP,2014.0,500000.0,120000.0,Diesel,Individual,Manual,First Owner,5,1364.0,67.06,Toyota
Chevrolet Spark 1.0 LT LPG,2012.0,300000.0,70000.0,LPG,Individual,Manual,First Owner,5,995.0,60.2,Chevrolet
Hyundai i20 2015-2017 Asta Option 1.2,2016.0,650000.0,29000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.83,Hyundai
Maruti Baleno Delta 1.2,2019.0,610000.0,5000.0,Petrol,Individual,Manual,First Owner,5,1197.0,83.1,Maruti
Hyundai Grand i10 1.2 CRDi Sportz,2018.0,540000.0,30000.0,Diesel,Individual,Manual,First Owner,5,1186.0,73.97,Hyundai
Maruti Wagon R LXI,2014.0,351000.0,50000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.04,Maruti
Skoda Rapid 1.5 TDI Ambition BSIV,2018.0,900000.0,35000.0,Diesel,Individual,Manual,First Owner,5,1498.0,108.6,Skoda
Maruti Swift Dzire VDI,2016.0,715000.0,46000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0,Maruti
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2015.0,675000.0,74450.0,Diesel,Dealer,Automatic,First Owner,5,1498.0,108.5,Volkswagen
Toyota Innova 2.5 G (Diesel) 8 Seater,2013.0,790000.0,161823.0,Diesel,Dealer,Manual,First Owner,8,2494.0,100.6,Toyota
Maruti Omni Limited Edition,2014.0,115000.0,60000.0,Petrol,Individual,Manual,First Owner,8,796.0,37.0,Maruti
Audi A4 35 TDI Premium Plus,2015.0,1750000.0,37000.0,Diesel,Dealer,Automatic,First Owner,5,1968.0,187.74,Audi
Ford EcoSport 1.5 Diesel Titanium BSIV,2019.0,960000.0,2600.0,Diesel,Individual,Manual,First Owner,5,1498.0,98.96,Ford
Maruti Baleno Zeta 1.3,2017.0,670000.0,53701.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0,Maruti
Hyundai Santro Xing GL,2011.0,200000.0,60000.0,Petrol,Individual,Manual,First Owner,5,1086.0,62.0,Hyundai
